Labels,Num_TP,Num_FP,Num_FN,Sensitivity,Specificity,Legacy_Dice,Legacy_HD95,GT_Complete_Volume,LesionWise_Score_Dice,LesionWise_Score_HD95
ET,1.076555023923445,0.19138755980861244,0.0430622009569378,0.9421007730085078,0.9999454812488169,0.9416584811602914,7.597389490272952,18354.755980861242,0.8747588877516361,30.372788881831376
TC,1.076555023923445,0.15789473684210525,0.0430622009569378,0.9309236436275036,0.9999509425194764,0.9360645935815032,7.774995664373389,19776.87081339713,0.8757080323994872,28.61053252265753
WT,1.0574162679425838,0.0861244019138756,0.04784688995215311,0.9331057829060656,0.9998470714913149,0.9341896868797683,7.884163313159597,41621.966507177036,0.8897738239651941,23.47941049347173
